Row ID,Order ID,DateKey,ShipDateKey,ProductKey,CustomerKey,GeographyKey,ShipModeKey,Sales,Quantity,Discount,Profit,Ship Days,Profit Margin,Returned Flag,Returned,Net Sales After Returns,Return Sales,Loss Flag,Discount Band
1,CA-2017-152156,20171108,20171111,1,1,1,1,261.96,2,0.0,41.9136,3,0.16,False,No,261.96,0.0,False,0%
2,CA-2017-152156,20171108,20171111,2,1,1,1,731.9399999999999,3,0.0,219.582,3,0.3,False,No,731.9399999999999,0.0,False,0%
3,CA-2017-138688,20170612,20170616,3,2,2,1,14.62,2,0.0,6.8714,4,0.47,False,No,14.62,0.0,False,0%
4,US-2016-108966,20161011,20161018,4,3,3,2,957.5775,5,0.45,-383.03100000000006,7,-0.4000000000000001,False,No,957.5775,0.0,True,40%+
5,US-2016-108966,20161011,20161018,5,3,3,2,22.368,2,0.2,2.516399999999999,7,0.1124999999999999,False,No,22.368,0.0,False,10-20%
6,CA-2015-115812,20150609,20150614,6,4,4,2,48.86,7,0.0,14.169399999999996,5,0.2899999999999999,False,No,48.86,0.0,False,0%
7,CA-2015-115812,20150609,20150614,7,4,4,2,7.28,4,0.0,1.9656,5,0.27,False,No,7.28,0.0,False,0%
8,CA-2015-115812,20150609,20150614,8,4,4,2,907.152,6,0.2,90.71520000000004,5,0.1,False,No,907.152,0.0,False,10-20%
9,CA-2015-115812,20150609,20150614,9,4,4,2,18.504,3,0.2,5.7825,5,0.3124999999999999,False,No,18.504,0.0,False,10-20%
10,CA-2015-115812,20150609,20150614,10,4,4,2,114.9,5,0.0,34.46999999999999,5,0.2999999999999999,False,No,114.9,0.0,False,0%
11,CA-2015-115812,20150609,20150614,11,4,4,2,1706.1840000000002,9,0.2,85.3091999999998,5,0.0499999999999998,False,No,1706.1840000000002,0.0,False,10-20%
12,CA-2015-115812,20150609,20150614,12,4,4,2,911.424,4,0.2,68.35680000000002,5,0.075,False,No,911.424,0.0,False,10-20%
13,CA-2018-114412,20180415,20180420,13,5,5,2,15.552000000000003,3,0.2,5.4432,5,0.3499999999999999,False,No,15.552000000000003,0.0,False,10-20%
14,CA-2017-161389,20171205,20171210,14,6,6,2,407.97600000000006,3,0.2,132.5921999999999,5,0.3249999999999998,False,No,407.97600000000006,0.0,False,10-20%
15,US-2016-118983,20161122,20161126,15,7,7,2,68.80999999999999,5,0.8,-123.858,4,-1.8000000000000005,False,No,68.80999999999999,0.0,True,40%+
16,US-2016-118983,20161122,20161126,16,7,7,2,2.544,3,0.8,-3.8160000000000016,4,-1.5000000000000009,False,No,2.544,0.0,True,40%+
17,CA-2015-105893,20151111,20151118,17,8,8,2,665.88,6,0.0,13.3176,7,0.0199999999999999,False,No,665.88,0.0,False,0%
18,CA-2015-167164,20150513,20150515,18,9,9,1,55.5,2,0.0,9.989999999999997,2,0.1799999999999999,False,No,55.5,0.0,False,0%
19,CA-2015-143336,20150827,20150901,19,10,10,1,8.56,2,0.0,2.4823999999999997,5,0.2899999999999999,True,Yes,0.0,8.56,False,0%
20,CA-2015-143336,20150827,20150901,20,10,10,1,213.48,3,0.2,16.01099999999998,5,0.0749999999999999,True,Yes,0.0,213.48,False,10-20%
21,CA-2015-143336,20150827,20150901,21,10,10,1,22.72,4,0.2,7.383999999999999,5,0.3249999999999999,True,Yes,0.0,22.72,False,10-20%
22,CA-2017-137330,20171209,20171213,22,11,11,2,19.46,7,0.0,5.0596,4,0.26,False,No,19.46,0.0,False,0%
23,CA-2017-137330,20171209,20171213,23,11,11,2,60.34,7,0.0,15.6884,4,0.26,False,No,60.34,0.0,False,0%
24,US-2018-156909,20180716,20180718,24,12,12,1,71.37199999999999,2,0.3,-1.0196000000000005,2,-0.0142857142857142,False,No,71.37199999999999,0.0,True,20-40%
25,CA-2016-106320,20160925,20160930,4,13,13,2,1044.63,3,0.0,240.2649,5,0.23,False,No,1044.63,0.0,False,0%
26,CA-2017-121755,20170116,20170120,25,14,14,1,11.648,2,0.2,4.2224,4,0.3625,False,No,11.648,0.0,False,10-20%
27,CA-2017-121755,20170116,20170120,26,14,14,1,90.57,3,0.0,11.774100000000004,4,0.13,False,No,90.57,0.0,False,0%
28,US-2016-150630,20160917,20160921,27,15,12,2,3083.4300000000003,7,0.5,-1665.0522,4,-0.5399999999999999,False,No,3083.4300000000003,0.0,True,40%+
29,US-2016-150630,20160917,20160921,28,15,12,2,9.618000000000002,2,0.7,-7.0532,4,-0.7333333333333332,False,No,9.618000000000002,0.0,True,40%+
30,US-2016-150630,20160917,20160921,29,15,12,2,124.20000000000002,3,0.2,15.524999999999991,4,0.1249999999999999,False,No,124.20000000000002,0.0,False,10-20%
31,US-2016-150630,20160917,20160921,30,15,12,2,3.264,2,0.2,1.1015999999999997,4,0.3374999999999998,False,No,3.264,0.0,False,10-20%
32,US-2016-150630,20160917,20160921,31,15,12,2,86.304,6,0.2,9.709199999999989,4,0.1124999999999998,False,No,86.304,0.0,False,10-20%
33,US-2016-150630,20160917,20160921,32,15,12,2,6.858000000000001,6,0.7,-5.715,4,-0.8333333333333331,False,No,6.858000000000001,0.0,True,40%+
34,US-2016-150630,20160917,20160921,33,15,12,2,15.76,2,0.2,3.5460000000000007,4,0.225,False,No,15.76,0.0,False,10-20%
35,CA-2018-107727,20181019,20181023,34,16,15,1,29.472,3,0.2,9.946799999999998,4,0.3374999999999999,False,No,29.472,0.0,False,10-20%
36,CA-2017-117590,20171208,20171210,35,17,16,3,1097.5440000000003,7,0.2,123.4736999999999,2,0.1124999999999998,False,No,1097.5440000000003,0.0,False,10-20%
37,CA-2017-117590,20171208,20171210,36,17,16,3,190.92,5,0.6,-147.96300000000002,2,-0.7750000000000001,False,No,190.92,0.0,True,40%+
38,CA-2016-117415,20161227,20161231,37,18,17,2,113.328,9,0.2,35.415,4,0.3125,False,No,113.328,0.0,False,10-20%
39,CA-2016-117415,20161227,20161231,38,18,17,2,532.3992,3,0.32,-46.97640000000001,4,-0.088235294117647,False,No,532.3992,0.0,True,20-40%
40,CA-2016-117415,20161227,20161231,39,18,17,2,212.058,3,0.3,-15.146999999999991,4,-0.0714285714285714,False,No,212.058,0.0,True,20-40%
41,CA-2016-117415,20161227,20161231,40,18,17,2,371.168,4,0.2,41.75639999999996,4,0.1124999999999998,False,No,371.168,0.0,False,10-20%
42,CA-2018-120999,20180910,20180915,41,19,18,2,147.168,4,0.2,16.556399999999996,5,0.1124999999999999,False,No,147.168,0.0,False,10-20%
43,CA-2017-101343,20170717,20170722,42,20,14,2,77.88,2,0.0,3.8939999999999912,5,0.0499999999999998,False,No,77.88,0.0,False,0%
44,CA-2018-139619,20180919,20180923,43,21,19,2,95.616,2,0.2,9.56160000000001,4,0.1000000000000001,False,No,95.616,0.0,False,10-20%
45,CA-2017-118255,20170311,20170313,44,22,20,3,45.98,2,0.0,19.7714,2,0.43,False,No,45.98,0.0,False,0%
46,CA-2017-118255,20170311,20170313,45,22,20,3,17.46,2,0.0,8.206199999999999,2,0.4699999999999999,False,No,17.46,0.0,False,0%
47,CA-2015-146703,20151020,20151025,46,23,21,1,211.96,4,0.0,8.478399999999993,5,0.0399999999999999,False,No,211.96,0.0,False,0%
48,CA-2017-169194,20170620,20170625,47,24,22,2,45.0,3,0.0,4.950000000000001,5,0.11,False,No,45.0,0.0,False,0%
49,CA-2017-169194,20170620,20170625,48,24,22,2,21.8,2,0.0,6.104000000000001,5,0.28,False,No,21.8,0.0,False,0%
50,CA-2016-115742,20160418,20160422,49,25,23,2,38.22,6,0.0,17.9634,4,0.47,False,No,38.22,0.0,False,0%
51,CA-2016-115742,20160418,20160422,50,25,23,2,75.17999999999999,6,0.0,35.334599999999995,4,0.47,False,No,75.17999999999999,0.0,False,0%
52,CA-2016-115742,20160418,20160422,51,25,23,2,6.16,2,0.0,2.9568,4,0.48,False,No,6.16,0.0,False,0%
